ID;StockRegularProduk;StockAReady;StockABelumReady;ScoreLayananStock;ScoreLayananSales;ScorePKBase;ScoreRetensi;AdaMatpro1;AdaMatpro2;AdaMatpro3;AdaMatpro4
77158;5;0;0;10;10;1;8;Ya;Ya;Tidak;Ya
77165;3;0;6;10;5;4;3;Tidak;Ya;Tidak;Ya
77173;0;0;23;10;10;8;8;Ya;Ya;Tidak;Ya
77194;12;0;0;10;10;8;10;Tidak;Ya;Tidak;Ya
77198;11;0;0;10;10;10;10;Ya;Ya;Tidak;Ya
77199;4;0;0;9;9;8;8;Ya;Ya;Tidak;Ya
77200;0;0;50;8;7;6;9;Ya;Tidak;Tidak;Ya
77201;1;0;8;10;10;10;10;Tidak;Ya;Tidak;Ya
77202;0;0;0;9;9;10;7;Ya;Ya;Tidak;Ya
77203;0;0;0;8;7;6;6;Ya;Ya;Tidak;Tidak
77204;12;0;9;7;7;5;6;Ya;Ya;Tidak;Ya
77990;13;0;16;8;8;8;7;Ya;Ya;Tidak;Ya
74703;2;22;0;7;8;7;7;Ya;Ya;Ya;Ya
74710;2;4;0;9;9;9;8;Ya;Ya;Tidak;Tidak
75283;10;20;15;7;9;8;8;Ya;Ya;Tidak;Ya
75287;9;2;10;8;8;7;7;Ya;Ya;Tidak;Ya
75289;15;1;0;9;8;9;9;Ya;Ya;Tidak;Tidak
75296;7;5;7;7;8;6;7;Tidak;Ya;Ya;Ya
75298;4;0;11;8;8;7;8;Tidak;Ya;Tidak;Ya
75315;23;26;23;8;8;8;8;Ya;Ya;Tidak;Ya
75319;15;107;50;8;8;8;8;Tidak;Tidak;Tidak;Tidak
75930;34;54;50;7;8;8;7;Ya;Ya;Tidak;Ya
75935;15;4;10;7;8;8;7;Tidak;Ya;Tidak;Ya
75937;29;34;35;9;10;9;10;Tidak;Ya;Tidak;Ya
75942;10;5;10;8;7;8;9;Ya;Ya;Tidak;Ya
75948;0;0;0;7;8;7;7;Ya;Tidak;Tidak;Tidak
75951;25;47;27;8;8;8;8;Tidak;Ya;Tidak;Ya
75953;6;5;20;10;10;10;10;Tidak;Ya;Tidak;Ya
75954;0;0;0;6;6;6;6;Ya;Ya;Tidak;Ya
75962;0;1;0;7;7;7;7;Tidak;Tidak;Tidak;Ya
75965;1;1;8;9;8;6;7;Ya;Ya;Tidak;Ya
75968;12;5;5;8;8;7;8;Ya;Ya;Tidak;Ya
76203;3;1;10;8;7;8;7;Ya;Ya;Tidak;Ya
76252;5;6;15;8;8;7;7;Tidak;Ya;Tidak;Ya
76253;2;1;0;8;8;7;8;Ya;Ya;Tidak;Ya
76254;15;18;10;8;8;8;7;Ya;Ya;Tidak;Ya
76257;10;5;20;6;7;8;7;Ya;Ya;Tidak;Ya
76271;12;15;0;7;7;7;8;Tidak;Ya;Tidak;Ya
76276;10;0;0;7;7;6;7;Tidak;Tidak;Tidak;Tidak
76281;24;12;15;9;10;10;10;Tidak;Ya;Tidak;Ya
76282;3;1;5;7;7;7;7;Ya;Ya;Tidak;Ya
76534;34;22;20;8;8;7;9;Tidak;Ya;Tidak;Ya
76653;15;10;0;7;7;7;7;Tidak;Ya;Tidak;Tidak
76772;89;75;50;10;10;10;8;Tidak;Tidak;Ya;Ya
74713;0;25;12;9;9;7;7;Ya;Ya;Ya;Ya
74714;0;0;0;6;7;6;5;Tidak;Tidak;Tidak;Tidak
74716;0;0;0;8;7;7;7;Tidak;Ya;Tidak;Ya
75103;0;0;0;6;6;6;6;Ya;Ya;Tidak;Tidak
75104;12;15;0;6;6;6;6;Tidak;Tidak;Tidak;Ya
76481;2;0;2;6;6;6;6;Ya;Tidak;Tidak;Tidak
76483;0;0;0;6;6;6;6;Tidak;Tidak;Tidak;Tidak
76502;8;10;0;5;4;4;4;Tidak;Tidak;Tidak;Tidak
76503;0;0;0;6;7;6;6;Tidak;Tidak;Tidak;Tidak
76588;0;12;0;9;9;9;9;Ya;Ya;Tidak;Ya
76599;0;78;0;7;9;9;8;Tidak;Tidak;Tidak;Tidak
76610;3;5;0;7;5;8;5;Tidak;Tidak;Tidak;Ya
76619;0;0;0;9;9;9;9;Tidak;Tidak;Tidak;Tidak
76627;8;10;0;5;5;5;5;Tidak;Ya;Tidak;Tidak
76628;20;0;52;8;8;8;8;Tidak;Ya;Tidak;Tidak
76635;2;22;0;8;8;7;8;Tidak;Ya;Tidak;Tidak
76644;45;15;0;9;9;9;9;Tidak;Ya;Tidak;Ya
76717;0;0;0;9;9;9;9;Ya;Tidak;Tidak;Ya
76765;0;0;0;6;6;6;6;Tidak;Tidak;Tidak;Tidak
77170;0;5;0;6;5;5;4;Tidak;Tidak;Tidak;Tidak
