IDRetailer;Category;StockProdRegular;StockProdA
1000;Cat-A;0;0
1001;Cat-A;19;0
1002;Cat-A;0;0
1003;Cat-A;2;0
1004;Cat-A;52;5
1005;Cat-A;4;7
1006;Cat-A;10;1
1007;Cat-A;15;5
1008;Cat-A;20;5
1009;Cat-A;30;5
1010;Cat-A;10;5
1011;Cat-A;15;2
1012;Cat-A;30;25
1013;Cat-A;25;0
1014;Cat-A;0;0
1015;Cat-A;0;0
1016;Cat-A;10;0
1017;Cat-A;12;0
1018;Cat-A;8;0
1019;Cat-A;35;0
1020;Cat-A;10;0
1021;Cat-A;10;0
1022;Cat-A;3;0
1023;Cat-A;15;0
1024;Cat-A;0;0
1025;Cat-A;10;3
1026;Cat-A;0;0
1027;Cat-A;15;0
1028;Cat-A;15;0
1029;Cat-A;0;0
1030;Cat-A;2;0
1031;Cat-A;15;0
1032;Cat-A;11;0
1033;Cat-A;5;0
1034;Cat-A;0;0
1035;Cat-A;35;25
1036;Cat-A;0;0
1037;Cat-A;15;0
1038;Cat-A;0;0
1039;Cat-A;5;0
1040;Cat-A;15;0
1041;Cat-A;15;0
1042;Cat-A;5;0
1043;Cat-A;14;0
1044;Cat-A;5;0
1045;Cat-A;50;0
1046;Cat-A;0;26
1047;Cat-A;12;0
1048;Cat-A;45;0
1049;Cat-A;11;0
1050;Cat-A;0;0
1051;Cat-A;0;0
1052;Cat-A;0;0
1053;Cat-A;0;0
1054;Cat-A;58;0
1055;Cat-A;1;0
1056;Cat-A;63;0
1057;Cat-A;21;0
1058;Cat-A;0;0
1059;Cat-A;8;0
1060;Cat-A;0;27
1061;Cat-A;1;3
1062;Cat-A;2;0
1063;Cat-A;5;0
1064;Cat-A;4;0
1065;Cat-A;0;0
1066;Cat-A;10;2
1067;Cat-A;20;0
1068;Cat-A;11;0
1069;Cat-A;0;0
1070;Cat-A;16;0
1071;Cat-A;0;0
1072;Cat-A;0;6
1073;Cat-A;0;40
1074;Cat-A;7;0
1075;Cat-A;6;6
1076;Cat-A;15;5
1077;Cat-A;5;3
1078;Cat-A;70;7
1079;Cat-A;7;6
1080;Cat-A;9;0
1081;Cat-A;14;0
1082;Cat-A;15;0
1083;Cat-A;3;7
1084;Cat-A;12;26
1085;Cat-A;4;4
1086;Cat-A;10;15
1087;Cat-A;5;20
1088;Cat-A;10;0
1089;Cat-A;22;0
1090;Cat-A;30;32
1091;Cat-A;10;10
1092;Cat-A;9;3
1093;Cat-A;9;6
1094;Cat-A;6;4
1095;Cat-A;8;0
1096;Cat-A;22;10
1097;Cat-A;20;25
1098;Cat-A;10;6
1099;Cat-A;25;15
1100;Cat-A;12;2
1101;Cat-A;15;4
1102;Cat-A;0;20
1103;Cat-A;20;30
1104;Cat-A;0;12
1105;Cat-A;20;10
1106;Cat-A;2;10
1107;Cat-A;1;0
1108;Cat-A;1;0
1109;Cat-A;3;0
1110;Cat-A;5;0
1111;Cat-A;0;0
1112;Cat-A;1;0
1113;Cat-A;2;0
1114;Cat-A;0;0
1115;Cat-A;20;0
1116;Cat-A;35;0
1117;Cat-A;17;0
1118;Cat-A;0;0
1119;Cat-A;0;0
1120;Cat-A;7;0
1121;Cat-A;10;0
1122;Cat-A;15;0
1123;Cat-A;0;0
1124;Cat-A;0;0
1125;Cat-A;0;0
1126;Cat-A;0;0
1127;Cat-A;0;0
1128;Cat-A;5;0
1129;Cat-A;1;1
1130;Cat-A;3;0
1131;Cat-A;0;0
1132;Cat-A;0;0
1133;Cat-A;0;0
1134;Cat-A;0;0
1135;Cat-A;20;0
1136;Cat-A;13;0
1137;Cat-A;4;0
1138;Cat-A;4;0
1139;Cat-A;0;18
1140;Cat-A;10;10
1141;Cat-A;0;1
1142;Cat-A;0;6
1143;Cat-A;1;2
1144;Cat-A;9;10
1145;Cat-A;6;9
1146;Cat-A;5;2
